original_smiles,radical_smiles,I,A,philicity,predicted_philicity
CC1=CC(=CC(=C1N)Cl)Cl,CC1=CC(=[C]C(=C1N)Cl)Cl,9.484510752317656,1.7188065043173044,2.0203305705521544,1.996757055895232
C1CC1[C@@H]2C[C@H]2C=O,C1CC1[C@@H]1C[C]1C=O,9.039944533689086,0.891908276307616,1.513274136299987,1.521019453829007
C1CCN2C(=CC=N2)C1,[CH]1CCn2c(ccn2)C1,8.074759906780345,-0.1022995189748448,0.9716225804066744,0.9778777358988675
C1CCN2C(=CC=N2)C1,C1[CH]Cn2c(ccn2)C1,8.159232464946822,-0.0203318174708416,1.0123048958101963,1.007620993261316
CC1=CN=C(C=N1)CC=C,Cc1cnc(cn1)[CH]C=C,7.536050726189609,1.36376954623579,1.604082805290854,1.5918558416338677
C#CCOCC(=O)N,[C]#CCOCC(=O)N,11.998134927477372,3.422070378079922,3.465790315242028,3.450863047150943
CC1=CN=C(C=N1)CC=C,CC1=CN=C([C]=N1)CC=C,8.60043106025056,0.6092483291458102,1.3267465735285864,1.32190833272784
C1CCN2C(=CC=N2)C1,C1C[CH]n2c(ccn2)C1,6.876654553453989,-0.0625982518740033,0.8363898207716916,0.8410445210900186
CC1=CN=C(C=N1)CC=C,Cc1cnc(cn1)CC=[CH],9.150276281443196,0.3894963826122673,1.2985040078167611,1.3042331020932965
C1CCN2C(=CC=N2)C1,C1CCn2c(ccn2)[CH]1,7.121013071116493,0.4763939075480397,1.0858521643334866,1.0798375529232709
C1CCN2C(=CC=N2)C1,C1CCN2C(=C[C]=N2)C1,9.52534211947236,0.5836800243637539,1.428598056177827,1.4324044478282356
C1CCN2C(=CC=N2)C1,C1CCN2C(=[C]C=N2)C1,9.953107907249263,1.0400216950580143,1.6948239865534511,1.6891775440389316
C1CC(C1)C2=CC(=NN2)N,C1CC(C1)C1=[C]C(=NN1)N,9.709491834485782,1.2060297019114432,1.7514720556455368,1.7419383158357928
CCOC=C(C)C,CCO/C=C(\[CH2])/C,6.886640415090798,-0.2174403959004326,0.7826175912011258,0.8040740684123846
